X,Y,Theta,Theta_delta,US1,US2,US3,,,US_X,US_Y
96,353,4446,-31,25,16,17,1.75,1.923,1.254079439,17.91531262
109,349,4410,-36,24,13,26,1.641,2.272,1.173101081,15.26357691
58,173,4390,-20,23,9,9,1.583,2.445,1.403012,11.44320006
43,177,4469,79,23,9,9,1.54,2.622,2.250260672,11.5939301
7,183,4669,200,21,6,7,1.533,2.805,2.725015985,8.685399467
-38,179,4924,255,21,4,145,1.571,2.984,2.579981635,6.854653183
-83,162,5187,263,21,4,145,1.654,3.146,2.693914242,7.008457556
122,-136,5442,255,115,4,92,1.532,3.01,2.540981635,6.880653183
151,-103,5681,239,3,168,115,1.381,2.907,41.15183652,166.1316322
-171,65,5920,239,3,168,115,1.552,2.972,41.32283652,166.1966322
-181,24,6147,227,2,138,115,1.733,2.996,32.79065939,137.4557404
183,8,6330,183,3,116,125,1.55,3.004,22.65971416,117.0670526
-181,-26,6426,96,109,117,122,1.731,2.978,12.9457556,119.4392779
-180,-32,6461,35,109,117,122,1.911,2.946,6.005163989,119.8743448
-360,-68,6469,8,114,117,131,2.271,2.878,3.206990016,119.874256
-180,-33,6465,-4,136,120,116,2.451,2.845,1.97100128,122.84404
-180,-31,6453,-12,136,120,116,2.631,2.814,1.19103456,122.8053601
-180,-28,6442,-11,138,125,119,2.811,2.786,1.436027729,127.7784376
-363,-49,6418,-24,137,123,116,3.174,2.737,0.2222833838,125.7015777
-182,-19,6390,-28,137,123,116,3.356,2.718,-0.08755000164,125.6697872
-182,-13,6358,-32,138,119,128,3.538,2.705,-0.2693501346,121.6440772
-183,-6,6318,-40,133,108,126,3.721,2.699,-0.5978480922,110.6126115
-183,0,6278,-40,133,108,126,3.904,2.699,-0.4148480922,110.6126115
-182,16,6195,-83,131,104,109,4.086,2.715,-4.536092439,106.3569776
-363,49,6147,-48,129,102,113,4.449,2.764,-0.4451201526,104.6465186
-540,98,6103,-44,129,102,113,4.989,2.862,0.5024479878,104.7632799
-358,78,6067,-36,128,100,111,5.347,2.94,1.74777755,102.875207
-355,89,6035,-32,122,99,108,5.702,3.029,2.534540644,101.9783163
-175,51,5995,-40,122,99,108,5.877,3.08,1.918055916,102.0008106
-176,49,6011,16,5,96,107,6.053,3.129,7.588934465,99.11671226
-181,24,6151,140,5,119,105,6.234,3.153,22.83963064,120.9887035
182,13,6358,207,5,119,105,6.052,3.166,30.50945994,119.6255752
-176,-50,6561,203,6,134,103,6.228,3.116,33.2435567,134.3644655
161,86,6776,215,111,108,60,6.067,3.202,29.10852226,108.7154506
-138,-119,6995,219,111,108,60,6.205,3.083,29.6683906,108.5034406
109,147,7214,219,114,106,59,6.096,3.23,29.12488337,106.6982102
-76,-166,7426,212,91,62,58,6.172,3.064,19.21776369,63.67594643
0,0,7641,215,105,59,60,6.172,3.064,18.75949827,60.70560726
-20,-182,7740,99,105,59,60,6.192,2.882,12.0234634,61.59310657
-17,-182,7760,20,104,58,62,6.209,2.7,7.368922668,60.68840039
-17,-182,7756,-4,102,58,62,6.226,2.518,5.994000619,60.517536
-19,-182,7744,-12,102,58,62,6.245,2.336,5.549016704,60.33182405
-21,-182,7736,-8,107,57,61,6.266,2.154,5.810004864,59.15217601
-25,-181,7716,-20,106,56,61,6.291,1.973,5.171074665,57.96180037
-28,-181,7696,-20,106,56,61,6.319,1.792,5.199074665,57.78080037
-32,-180,7673,-23,109,55,59,6.351,1.612,5.086111528,56.59745314
-37,-179,7649,-24,99,54,73,6.388,1.433,5.092124412,55.41744875
-42,-178,7621,-28,99,54,73,6.43,1.255,4.91819756,55.23383338
-46,-177,7597,-24,114,52,54,6.476,1.078,5.228119805,53.06302472
-53,-175,7557,-40,99,51,52,6.529,0.903,4.489543956,51.86220544
-59,-173,7525,-32,99,51,52,6.588,0.73,4.956278514,51.70389023
-64,-171,7493,-32,98,49,50,6.652,0.559,5.084267592,49.53391414
-69,-169,7465,-28,103,48,48,6.721,0.39,5.377175609,48.37118523
-296,-670,7438,-27,101,46,46,7.017,-0.28,5.775150897,45.70323402
-79,-165,7406,-32,101,46,46,7.096,-0.445,5.624251208,45.53145001
-167,-325,7378,-28,102,45,45,7.263,-0.77,6.003164634,44.21236115
-90,-159,7338,-40,99,43,43,7.353,-0.929,5.63345863,42.03660459
-96,-155,7298,-40,99,43,43,7.449,-1.084,5.72945863,41.88160459
-101,-152,7266,-32,96,41,40,7.55,-1.236,6.238223903,39.74300979
-106,-149,7234,-32,93,40,39,7.656,-1.385,6.376218442,38.59452175
-111,-145,7202,-32,93,40,39,7.767,-1.53,6.487218442,38.44952175
-113,-143,7183,-19,93,39,36,7.88,-1.673,7.139044583,37.31996071
-235,-280,7155,-28,91,39,35,8.115,-1.953,7.023142682,37.031713
-244,-272,7123,-32,91,39,35,8.359,-2.225,7.111212981,36.7550337
-126,-132,7091,-32,123,139,32,8.485,-2.357,4.037759086,136.5718381
-130,-128,7063,-28,89,135,31,8.615,-2.485,4.835493901,132.4620835
-271,-246,7019,-44,88,97,30,8.886,-2.731,4.619377008,94.17511915
-140,-118,6983,-36,88,97,30,9.026,-2.849,5.534754223,94.08815079
-143,-114,6955,-28,85,131,29,9.169,-2.963,5.501479267,127.9856514
-146,-110,6932,-23,83,83,109,9.315,-3.073,7.406168306,79.90504747
-297,-214,6908,-24,83,83,109,9.612,-3.287,7.620191226,79.68909715
-155,-96,6840,-68,78,78,23,9.767,-3.383,4.467086671,74.43673348
-158,-91,6808,-32,78,78,23,9.925,-3.474,7.429425962,74.48606741
-322,-174,6780,-28,87,74,22,10.247,-3.648,8.175270731,70.3229939
-163,-82,6752,-28,83,72,21,10.41,-3.73,8.394263414,68.24177784
-166,-76,6712,-40,83,72,21,10.576,-3.806,7.696767939,68.13640768
-168,-73,6693,-19,84,72,20,10.744,-3.879,9.376082307,68.10800439
-170,-67,6661,-32,82,116,19,10.914,-3.946,7.202633482,111.9946131
-345,-122,6625,-36,80,117,18,11.259,-4.068,7.047909733,112.8561922
-349,-111,6593,-32,80,117,18,11.608,-4.179,7.864638943,112.7611011
-353,-95,6545,-48,79,63,18,11.961,-4.274,8.938161082,58.65343793
-178,-39,6501,-44,102,59,18,12.139,-4.313,9.543837562,54.62989721
-360,-68,6469,-32,102,59,18,12.499,-4.381,10.6113222,54.58879458
-362,-53,6430,-39,106,133,18,12.861,-4.434,7.675314805,128.4648663
-182,-20,6394,-36,105,57,21,13.043,-4.454,10.9914432,52.50906799
-365,-28,6362,-32,105,57,21,13.408,-4.482,11.58431128,52.48881849
-183,-7,6326,-36,104,51,93,13.591,-4.489,11.75539655,46.47795557
-183,0,6286,-40,72,52,19,13.774,-4.489,11.69455462,47.46940555
-366,10,6254,-32,72,52,19,14.14,-4.479,12.47628397,47.49437827
-365,22,6222,-32,72,45,99,14.505,-4.457,13.06524575,40.51996197
-547,52,6187,-35,72,39,99,15.052,-4.405,13.68727867,34.57111494
-181,24,6147,-40,68,36,109,15.233,-4.381,13.79338397,31.59020384
-722,125,6111,-36,68,36,109,15.955,-4.256,14.65927992,31.72067452
-358,75,6075,-36,66,34,115,16.313,-4.181,15.08926437,29.79697038
-177,44,6039,-36,64,33,35,16.49,-4.137,15.30225659,28.84161831
